==> Preparing dataset cifar..
Files already downloaded and verified
Files already downloaded and verified
==> Preparing dataset cifar..
Files already downloaded and verified
Files already downloaded and verified
Starting ACGAN training ...
Epoch [1/90], Step [196/196], D_loss: -0.0945, G_loss: 2.0564, acc: 43.7500
Epoch [2/90], Step [196/196], D_loss: 0.1028, G_loss: 2.0767, acc: 40.0000
Epoch [3/90], Step [196/196], D_loss: -0.0841, G_loss: 1.3992, acc: 53.7500
Epoch [4/90], Step [196/196], D_loss: -0.4684, G_loss: 1.7979, acc: 62.5000
Epoch [5/90], Step [196/196], D_loss: 0.0312, G_loss: 1.0963, acc: 63.7500
Epoch [6/90], Step [196/196], D_loss: -0.4873, G_loss: 1.9581, acc: 58.7500
Epoch [7/90], Step [196/196], D_loss: -0.4886, G_loss: 1.5140, acc: 71.2500
Epoch [8/90], Step [196/196], D_loss: -0.5249, G_loss: 1.7427, acc: 67.5000
Epoch [9/90], Step [196/196], D_loss: -0.3026, G_loss: 0.6938, acc: 61.2500
Epoch [10/90], Step [196/196], D_loss: -0.5324, G_loss: 1.6717, acc: 63.7500
Epoch [11/90], Step [196/196], D_loss: 0.5116, G_loss: 1.0589, acc: 70.0000
Epoch [12/90], Step [196/196], D_loss: -0.8068, G_loss: 2.1780, acc: 75.0000
Epoch [13/90], Step [196/196], D_loss: -0.6533, G_loss: 1.1931, acc: 71.2500
Epoch [14/90], Step [196/196], D_loss: -0.8717, G_loss: 2.6932, acc: 80.0000
Epoch [15/90], Step [196/196], D_loss: -0.6114, G_loss: 2.5964, acc: 73.7500
Epoch [16/90], Step [196/196], D_loss: -0.2784, G_loss: 2.7551, acc: 77.5000
Epoch [17/90], Step [196/196], D_loss: -0.9407, G_loss: 2.9243, acc: 81.2500
Epoch [18/90], Step [196/196], D_loss: -1.0256, G_loss: 2.1308, acc: 82.5000
Epoch [19/90], Step [196/196], D_loss: -1.1042, G_loss: 1.6609, acc: 87.5000
Epoch [20/90], Step [196/196], D_loss: -1.1622, G_loss: 2.7008, acc: 92.5000
Epoch [21/90], Step [196/196], D_loss: -0.9555, G_loss: 1.7462, acc: 85.0000
Epoch [22/90], Step [196/196], D_loss: -1.1967, G_loss: 2.1302, acc: 91.2500
Epoch [23/90], Step [196/196], D_loss: -0.9882, G_loss: 1.4716, acc: 91.2500
Epoch [24/90], Step [196/196], D_loss: -0.8659, G_loss: 3.4431, acc: 87.5000
Epoch [25/90], Step [196/196], D_loss: -1.2137, G_loss: 2.2283, acc: 90.0000
Epoch [26/90], Step [196/196], D_loss: -0.9050, G_loss: 1.3277, acc: 86.2500
Epoch [27/90], Step [196/196], D_loss: -0.8051, G_loss: 1.6436, acc: 81.2500
Epoch [28/90], Step [196/196], D_loss: -0.8890, G_loss: 2.1134, acc: 83.7500
Epoch [29/90], Step [196/196], D_loss: -1.1315, G_loss: 1.8599, acc: 90.0000
Epoch [30/90], Step [196/196], D_loss: -1.0994, G_loss: 1.8844, acc: 85.0000
Epoch [31/90], Step [196/196], D_loss: -1.2429, G_loss: 1.4268, acc: 92.5000
Epoch [32/90], Step [196/196], D_loss: -1.0431, G_loss: 1.3072, acc: 87.5000
Epoch [33/90], Step [196/196], D_loss: -1.0241, G_loss: 1.7098, acc: 92.5000
Epoch [34/90], Step [196/196], D_loss: -0.9077, G_loss: 2.8054, acc: 96.2500
Epoch [35/90], Step [196/196], D_loss: -1.2225, G_loss: 3.0594, acc: 93.7500
Epoch [36/90], Step [196/196], D_loss: -0.6858, G_loss: 0.4903, acc: 93.7500
Epoch [37/90], Step [196/196], D_loss: -1.0860, G_loss: 1.0226, acc: 92.5000
Epoch [38/90], Step [196/196], D_loss: -0.8207, G_loss: 1.5260, acc: 90.0000
Epoch [39/90], Step [196/196], D_loss: -1.0830, G_loss: 1.2764, acc: 91.2500
Epoch [40/90], Step [196/196], D_loss: -1.1673, G_loss: 4.2764, acc: 96.2500
Epoch [41/90], Step [196/196], D_loss: -1.1743, G_loss: 2.4454, acc: 91.2500
Epoch [42/90], Step [196/196], D_loss: -1.0002, G_loss: 2.6039, acc: 93.7500
Epoch [43/90], Step [196/196], D_loss: -1.1214, G_loss: 4.3183, acc: 90.0000
Epoch [44/90], Step [196/196], D_loss: -1.3539, G_loss: 2.3054, acc: 97.5000
Epoch [45/90], Step [196/196], D_loss: -1.0337, G_loss: 1.7475, acc: 90.0000
Epoch [46/90], Step [196/196], D_loss: -0.9515, G_loss: 3.5740, acc: 86.2500
Epoch [47/90], Step [196/196], D_loss: -0.4443, G_loss: 0.3134, acc: 95.0000
Epoch [48/90], Step [196/196], D_loss: -1.1878, G_loss: 3.8413, acc: 95.0000
Epoch [49/90], Step [196/196], D_loss: -0.5270, G_loss: 0.2674, acc: 92.5000
Epoch [50/90], Step [196/196], D_loss: -1.0455, G_loss: 1.7690, acc: 93.7500
Epoch [51/90], Step [196/196], D_loss: -1.1167, G_loss: 2.9541, acc: 92.5000
Epoch [52/90], Step [196/196], D_loss: -0.1668, G_loss: 1.1227, acc: 93.7500
Epoch [53/90], Step [196/196], D_loss: -0.8741, G_loss: 1.4925, acc: 96.2500
Epoch [54/90], Step [196/196], D_loss: -1.3615, G_loss: 2.3948, acc: 96.2500
Epoch [55/90], Step [196/196], D_loss: -1.3284, G_loss: 1.5715, acc: 97.5000
Epoch [56/90], Step [196/196], D_loss: -0.9563, G_loss: 0.6689, acc: 92.5000
Epoch [57/90], Step [196/196], D_loss: -0.3073, G_loss: 0.1362, acc: 91.2500
Epoch [58/90], Step [196/196], D_loss: -1.3649, G_loss: 2.5425, acc: 97.5000
Epoch [59/90], Step [196/196], D_loss: -1.0148, G_loss: 0.8834, acc: 93.7500
Epoch [60/90], Step [196/196], D_loss: -0.5288, G_loss: 0.1171, acc: 96.2500
Epoch [61/90], Step [196/196], D_loss: -0.7153, G_loss: 3.9520, acc: 97.5000
Epoch [62/90], Step [196/196], D_loss: -0.4756, G_loss: 0.3858, acc: 96.2500
Epoch [63/90], Step [196/196], D_loss: -1.3676, G_loss: 1.8202, acc: 100.0000
Epoch [64/90], Step [196/196], D_loss: -0.3835, G_loss: 0.6970, acc: 96.2500
Epoch [65/90], Step [196/196], D_loss: -1.3012, G_loss: 2.5108, acc: 95.0000
Epoch [66/90], Step [196/196], D_loss: -1.3055, G_loss: 2.4241, acc: 95.0000
Epoch [67/90], Step [196/196], D_loss: -1.2971, G_loss: 2.7447, acc: 98.7500
Epoch [68/90], Step [196/196], D_loss: -0.7360, G_loss: 1.2339, acc: 100.0000
Epoch [69/90], Step [196/196], D_loss: 0.9797, G_loss: 0.1282, acc: 98.7500
Epoch [70/90], Step [196/196], D_loss: -1.3355, G_loss: 2.1804, acc: 95.0000
Epoch [71/90], Step [196/196], D_loss: -1.4152, G_loss: 1.9556, acc: 100.0000
Epoch [72/90], Step [196/196], D_loss: -0.9903, G_loss: 0.9420, acc: 97.5000
Epoch [73/90], Step [196/196], D_loss: -1.1920, G_loss: 2.5572, acc: 97.5000
Epoch [74/90], Step [196/196], D_loss: -1.3396, G_loss: 1.4958, acc: 95.0000
Epoch [75/90], Step [196/196], D_loss: -1.1305, G_loss: 2.1971, acc: 96.2500
Epoch [76/90], Step [196/196], D_loss: -1.1776, G_loss: 0.1536, acc: 97.5000
Epoch [77/90], Step [196/196], D_loss: -1.4138, G_loss: 2.3298, acc: 100.0000
Epoch [78/90], Step [196/196], D_loss: -0.3229, G_loss: 1.3924, acc: 95.0000
Epoch [79/90], Step [196/196], D_loss: -0.8459, G_loss: 0.1272, acc: 96.2500
Epoch [80/90], Step [196/196], D_loss: -1.3240, G_loss: 2.1977, acc: 93.7500
Epoch [81/90], Step [196/196], D_loss: -0.6717, G_loss: 0.1755, acc: 96.2500
Epoch [82/90], Step [196/196], D_loss: -1.3397, G_loss: 1.8576, acc: 97.5000
Epoch [83/90], Step [196/196], D_loss: 0.8429, G_loss: 1.1335, acc: 93.7500
Epoch [84/90], Step [196/196], D_loss: -1.0515, G_loss: 1.8049, acc: 95.0000
Epoch [85/90], Step [196/196], D_loss: -1.3702, G_loss: 3.1134, acc: 97.5000
Epoch [86/90], Step [196/196], D_loss: -1.0562, G_loss: 2.4399, acc: 95.0000
Epoch [87/90], Step [196/196], D_loss: -1.3385, G_loss: 2.8346, acc: 96.2500
Epoch [88/90], Step [196/196], D_loss: -1.2041, G_loss: 1.8669, acc: 97.5000
Epoch [89/90], Step [196/196], D_loss: -0.3131, G_loss: 0.5309, acc: 93.7500
Epoch [90/90], Step [196/196], D_loss: -1.3856, G_loss: 2.5098, acc: 97.5000
Models saved to models/cifar_acgan2
{'threshold': 8.977060127258301, 'natural_accuracy': 0.9580000000000007, 'adversarial_accuracy': 0.0, 'adversarial_detection_accuracy': np.float64(14.000000000000002), 'pAUC': np.float64(0.026144000000000004)}
==> Preparing dataset cifar..
Files already downloaded and verified
Files already downloaded and verified
==> Preparing dataset cifar..
Files already downloaded and verified
Files already downloaded and verified
Starting ACGAN training ...
Epoch [1/90], Step [196/196], D_loss: -0.2542, G_loss: 1.6429, acc: 38.7500
Epoch [2/90], Step [196/196], D_loss: -0.1992, G_loss: 1.0552, acc: 45.0000
Epoch [3/90], Step [196/196], D_loss: -0.1736, G_loss: 1.3181, acc: 42.5000
Epoch [4/90], Step [196/196], D_loss: -0.1613, G_loss: 2.8551, acc: 55.0000
Epoch [5/90], Step [196/196], D_loss: -0.3489, G_loss: 2.0716, acc: 58.7500
Epoch [6/90], Step [196/196], D_loss: 0.4112, G_loss: 0.1727, acc: 50.0000
Epoch [7/90], Step [196/196], D_loss: 0.1911, G_loss: 2.4095, acc: 60.0000
Epoch [8/90], Step [196/196], D_loss: -0.4853, G_loss: 2.0567, acc: 67.5000
Epoch [9/90], Step [196/196], D_loss: 0.1632, G_loss: 0.3997, acc: 65.0000
Epoch [10/90], Step [196/196], D_loss: -0.8253, G_loss: 1.7240, acc: 76.2500
Epoch [11/90], Step [196/196], D_loss: -0.6460, G_loss: 1.6045, acc: 73.7500
Epoch [12/90], Step [196/196], D_loss: -0.5677, G_loss: 2.6432, acc: 73.7500
Epoch [13/90], Step [196/196], D_loss: -0.0071, G_loss: -0.1032, acc: 71.2500
